Feature
1,ENSMUSG00000034023
2,ENSMUSG00000056411
3,ENSMUSG00000117231
4,ENSMUSG00000113170
5,ENSMUSG00000090115
6,ENSMUSG00000030400
7,ENSMUSG00000046836
8,ENSMUSG00000032127
9,ENSMUSG00000056413
10,ENSMUSG00000052419
11,ENSMUSG00000020383
12,ENSMUSG00000020464
13,ENSMUSG00000021958
14,ENSMUSG00000058420
15,ENSMUSG00000096458
16,ENSMUSG00000072595
17,ENSMUSG00000051506
18,ENSMUSG00000003348
19,ENSMUSG00000014606
20,ENSMUSG00000029910
21,ENSMUSG00000007833
22,ENSMUSG00000028977
23,ENSMUSG00000028214
24,ENSMUSG00000059939
25,ENSMUSG00000062646
26,ENSMUSG00000029363
27,ENSMUSG00000020392
28,ENSMUSG00000031969
29,ENSMUSG00000047388
30,ENSMUSG00000026031
31,ENSMUSG00000063659
32,ENSMUSG00000028811
33,ENSMUSG00000030055
34,ENSMUSG00000097515
35,ENSMUSG00000027397
36,ENSMUSG00000048826
37,ENSMUSG00000043126
38,ENSMUSG00000025538
39,ENSMUSG00000021276
40,ENSMUSG00000058587
41,ENSMUSG00000107929
42,ENSMUSG00000036078
43,ENSMUSG00000074398
44,ENSMUSG00000021824
45,ENSMUSG00000022515
46,ENSMUSG00000019863
47,ENSMUSG00000117868
48,ENSMUSG00000001062
49,ENSMUSG00000013643
50,ENSMUSG00000097784
51,ENSMUSG00000110542
52,ENSMUSG00000024767
53,ENSMUSG00000054519
54,ENSMUSG00000029270
55,ENSMUSG00000036639
56,ENSMUSG00000031504
57,ENSMUSG00000015599
58,ENSMUSG00000038406
59,ENSMUSG00000019320
60,ENSMUSG00000024064
61,ENSMUSG00000027300
62,ENSMUSG00000097145
63,ENSMUSG00000062743
64,ENSMUSG00000097204
65,ENSMUSG00000029674
66,ENSMUSG00000024007
67,ENSMUSG00000073542
68,ENSMUSG00000028300
69,ENSMUSG00000039131
70,ENSMUSG00000022353
71,ENSMUSG00000024182
72,ENSMUSG00000061979
73,ENSMUSG00000107875
74,ENSMUSG00000056258
75,ENSMUSG00000046798
76,ENSMUSG00000033478
77,ENSMUSG00000073889
78,ENSMUSG00000035372
79,ENSMUSG00000002608
80,ENSMUSG00000043090
81,ENSMUSG00000018923
82,ENSMUSG00000019942
83,ENSMUSG00000030544
84,ENSMUSG00000036615
85,ENSMUSG00000024271
86,ENSMUSG00000053483
87,ENSMUSG00000024800
88,ENSMUSG00000027316
89,ENSMUSG00000109776
90,ENSMUSG00000085788
91,ENSMUSG00000109118
92,ENSMUSG00000039367
93,ENSMUSG00000041153
94,ENSMUSG00000029388
95,ENSMUSG00000093668
96,ENSMUSG00000022052
97,ENSMUSG00000022142
98,ENSMUSG00000042401
99,ENSMUSG00000038068
100,ENSMUSG00000018286
101,ENSMUSG00000004356
102,ENSMUSG00000029784
103,ENSMUSG00000117450
104,ENSMUSG00000040269
105,ENSMUSG00000097447
106,ENSMUSG00000025856
107,ENSMUSG00000020372
108,ENSMUSG00000117696
109,ENSMUSG00000006021
110,ENSMUSG00000024827
111,ENSMUSG00000042423
112,ENSMUSG00000037857
113,ENSMUSG00000051518
114,ENSMUSG00000028089
115,ENSMUSG00000027342
116,ENSMUSG00000108660
117,ENSMUSG00000063932
118,ENSMUSG00000030647
119,ENSMUSG00000074220
120,ENSMUSG00000006715
121,ENSMUSG00000000579
122,ENSMUSG00000028619
123,ENSMUSG00000070366
124,ENSMUSG00000036371
125,ENSMUSG00000053293
126,ENSMUSG00000032913
127,ENSMUSG00000047674
128,ENSMUSG00000040767
129,ENSMUSG00000060261
130,ENSMUSG00000038984
131,ENSMUSG00000099378
132,ENSMUSG00000042784
133,ENSMUSG00000025130
134,ENSMUSG00000027667
135,ENSMUSG00000027080
136,ENSMUSG00000024773
137,ENSMUSG00000023266
138,ENSMUSG00000040560
139,ENSMUSG00000078681
140,ENSMUSG00000009739
141,ENSMUSG00000028718
142,ENSMUSG00000074141
143,ENSMUSG00000030521
144,ENSMUSG00000097211
145,ENSMUSG00000064145
146,ENSMUSG00000033373
147,ENSMUSG00000020219
148,ENSMUSG00000004768
149,ENSMUSG00000003436
150,ENSMUSG00000027157
151,ENSMUSG00000021595
152,ENSMUSG00000029126
153,ENSMUSG00000056665
154,ENSMUSG00000036463
155,ENSMUSG00000026960
156,ENSMUSG00000036646
157,ENSMUSG00000113211
158,ENSMUSG00000024740
159,ENSMUSG00000090100
160,ENSMUSG00000024831
161,ENSMUSG00000107121
162,ENSMUSG00000033409
163,ENSMUSG00000042810
164,ENSMUSG00000053898
165,ENSMUSG00000039176
166,ENSMUSG00000013160
167,ENSMUSG00000028187
168,ENSMUSG00000021078
169,ENSMUSG00000027649
170,ENSMUSG00000107008
171,ENSMUSG00000078919
172,ENSMUSG00000106020
173,ENSMUSG00000028873
174,ENSMUSG00000042079
175,ENSMUSG00000116780
176,ENSMUSG00000044927
177,ENSMUSG00000038045
178,ENSMUSG00000029504
179,ENSMUSG00000026933
180,ENSMUSG00000046034
181,ENSMUSG00000061411
182,ENSMUSG00000032400
183,ENSMUSG00000106754
184,ENSMUSG00000062190
185,ENSMUSG00000038495
186,ENSMUSG00000020660
187,ENSMUSG00000071637
188,ENSMUSG00000022012
189,ENSMUSG00000086828
190,ENSMUSG00000022442
191,ENSMUSG00000058812
192,ENSMUSG00000015126
193,ENSMUSG00000111028
194,ENSMUSG00000022428
195,ENSMUSG00000024069
196,ENSMUSG00000010607
197,ENSMUSG00000030335
198,ENSMUSG00000066196
199,ENSMUSG00000060373
200,ENSMUSG00000020687
201,ENSMUSG00000025730
202,ENSMUSG00000040795
203,ENSMUSG00000095956
204,ENSMUSG00000002635
205,ENSMUSG00000099491
